chainId,chain_name,shortName
1,Ethereum Mainnet,eth
56,BNB Smart Chain Mainnet,bsc
42161,Arbitrum One,arb
8453,Base,base
23888,Blast Testnet,blastT
81457,Blast,blastmainnet
43114,Avalanche C-Chain,avax
137,Polygon Mainnet,matic
59144,Linea,linea
10,OP Mainnet,op
25,Cronos Mainnet,cro
5000,Mantle,mnt
200901,Bitlayer Mainnet,btr
6001,BounceBit Mainnet,bb
100,Gnosis,xdai
369,PulseChain,pls
314,Filecoin - Mainnet,filecoin
2222,Kava,kava
30,Rootstock Mainnet,rsk
1116,Core Blockchain Mainnet,core
250,Fantom Opera,ftm
32659,Fusion Mainnet,fsn
42220,Celo Mainnet,celo
324,zkSync Mainnet,era
1088,Metis Andromeda Mainnet,metis-andromeda
169,Manta Pacific Mainnet,manta
592,Astar,astr
252,Fraxtal,frax
60808,BOB,bob
4689,IoTeX Network Mainnet,iotx
40,Telos EVM Mainnet,TelosEVM
1284,Moonbeam,mobm
14,Flare Mainnet,flr
1030,Conflux eSpace,cfx
1313161554,Aurora Mainnet,aurora
1101,Polygon zkEVM,zkevm
7700,Canto,canto
13371,Immutable zkEVM,imx
167000,Taiko Mainnet,tko-mainnet
88888,Chiliz Chain,chiliz
50,XDC Network,xdc
1975,ONUS Chain Mainnet,onus-mainnet
9790,Carbon EVM,carbon
1285,Moonriver,mriver
10000,Smart Bitcoin Cash,smartbch
66,OKXChain Mainnet,okt
82,Meter Mainnet,Meter
888888,Vision - Mainnet,vision
888,Wanchain,wan
20,Elastos Smart Chain,esc
32769,Zilliqa EVM,zil
288,Boba Network,Boba
7000,ZetaChain Mainnet,zetachain-mainnet
4337,Beam,beam
19,Songbird Canary-Network,sgb
2000,Dogechain Mainnet,dc
52,CoinEx Smart Chain Mainnet,cet
361,Theta Mainnet,theta-mainnet
122,Fuse Mainnet,fuse
1666600000,Harmony Mainnet Shard 0,hmy-s0
321,KCC Mainnet,kcs
17777,EOS EVM Network,eos
9001,Evmos,evmos
1231,Ultron Mainnet,ulx
128,Huobi ECO Chain Mainnet,heco
42170,Arbitrum Nova,arb-nova
245022934,Neon EVM Mainnet,neonevm-mainnet
248,Oasys Mainnet,OAS
106,Velas EVM Mainnet,vlx
2001,Milkomeda C1 Mainnet,milkAda
42262,Oasis Emerald,emerald
108,ThunderCore Mainnet,TT
1996,Sanko,Sanko
