id,chain,name,has_supported_portfolio,tvl,chain_id
eth2,eth,Eth2,true,88436591077.9395,1
lido,eth,LIDO,true,26216931789.359203,1
bsc_bnbchain,bsc,BNB Chain Staking,true,16092281843.07002,56
aave3,eth,Aave V3,true,8984843737.412548,1
makerdao,eth,Maker,true,6046123784.218182,1
etherfi,eth,ether.fi,true,5858342506.05066,1
eigenlayer,eth,EigenLayer,true,4115366077.893545,1
spark,eth,Spark,true,3255171105.4140615,1
pendle2,eth,Pendle V2,true,2680350640.374288,1
rocketpool,eth,Rocket Pool,true,2291577608.5238547,1
ethena,eth,Ethena,true,2230362014.6156096,1
uniswap3,eth,Uniswap V3,true,2195469549.170163,1
curve,eth,Curve,true,2182424997.603416,1
zircuit,eth,Zircuit,true,2164005153.918258,1
swellnetwork,eth,Swell,true,1871506602.6441026,1
bsc_pancakeswap,bsc,PancakeSwap,true,1634057311.5505078,56
bsc_venus,bsc,Venus,true,1554318934.7617984,56
arb_openeden,arb,OpenEden,true,1444857372.9393914,42161
aave2,eth,Aave V2,true,1402614648.0700586,1
polygon_staking,eth,Polygon Staking,true,1347121961.010984,1
mnteth,eth,MantleETH,true,1337131363.6535814,1
puffer,eth,Puffer Finance,true,1237084577.9875267,1
uniswap2,eth,Uniswap V2,true,1199858138.075124,1
stakefish,eth,StakeFish,true,1198614814.7058623,1
bsc_solv,bsc,Solv,true,1138879344.1978912,56
convex,eth,Convex,true,1133567079.2797315,1
compound3,eth,Compound V3,true,1122143933.3426235,1
symbiotic,eth,Symbiotic,true,1044270882.8552077,1
base_aerodrome,base,Aerodrome,true,968027621.1795404,8453
morphoblue,eth,Morpho Blue,true,959392019.09551,1
renzo,eth,Renzo,true,906078773.4297206,1
bsc_trustswap,bsc,TrustSwap,true,894371939.0934613,56
unicrypt,eth,UNCX Network,true,809009757.3733859,1
magpiexyz,eth,Magpie XYZ,true,808600061.7441522,1
frax,eth,Frax,true,752976522.7636343,1
kelpdao,eth,Kelp DAO,true,711390988.3046964,1
arb_aave3,arb,Aave V3,true,670718391.6407524,42161
compound,eth,Compound,true,595232962.8956237,1
mellow,eth,mellow,true,539328257.220812,1
merlin_solv,merlin,Solv,true,532699825.6607919,4200
karak,eth,Karak,true,525060379.6986955,1
balancer2,eth,Balancer V2,true,521891069.51034194,1
matic_uniswap3,matic,Uniswap V3,true,494054520.5858326,137
chainlink,eth,ChainLink,true,471735064.3291853,1
bsc_pancakeswap3,bsc,PancakeSwap V3,true,463212812.86830556,56
ftm_pwawallet,ftm,Fantom fWallet,true,424520325.9668384,250
gnosis_safe,eth,Gnosis Safe,true,420968004.38981724,1
aoarweave,eth,AO,true,410565438.39466965,1
aavemorpho,eth,Morpho AAVE,true,407666835.6448801,1
kcc_staking,kcc,KCC Staking,true,384522628.67486054,321
arb_gmx2,arb,GMX V2,true,372676938.5742337,42161
arb_thegraph,arb,The Graph,true,368172747.5086291,42161
liquity,eth,Liquity,true,366660908.1196457,1
elixir,eth,Elixir,true,359199980.49109304,1
bsc_unicrypt,bsc,UNCX Network,true,354055675.74798715,56
